Asset ID,Financials,Brand,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18
5932,Net Sales,Reebok,1578720,1317888,1441440,1468896,1564992,1606176,1235520,1427712,1537536,1606176,1262976,1592448,1276704,1537536,1249248,1455168,1345344,1592448,1372800,1564992
5932,Cost of Sales,Reebok,730080,624000,611520,642720,567840,592800,667680,705120,655200,592800,692640,742560,567840,655200,586560,717600,723840,580320,630240,580320
5932,Gross Profit,Reebok,848640,693888,829920,826176,997152,1013376,567840,722592,882336,1013376,570336,849888,708864,882336,662688,737568,621504,1012128,742560,984672
5932,Total Operating Expenses,Reebok,73600,86400,92800,73600,75200,89600,76000,84000,88000,80000,90400,85600,85600,88000,80000,89600,92000,92000,80000,96000
5932,Operating Income,Reebok,775040,607488,737120,752576,921952,923776,491840,638592,794336,933376,479936,764288,623264,794336,582688,647968,529504,920128,662560,888672
5932,Total Other Income,Reebok,138600,128800,131600,140000,147000,158200,140000,161000,166600,127400,144200,151200,135800,166600,128800,126000,127400,131600,151200,163800
5932,Income Before Tax,Reebok,913640,736288,868720,892576,1068952,1081976,631840,799592,960936,1060776,624136,915488,759064,960936,711488,773968,656904,1051728,813760,1052472
5932,Provisions for Income Tax,Reebok,57288,71456,62216,63448,68376,57288,69608,68376,63448,71456,66528,73920,60984,55440,65912,64064,59752,59752,57288,61600
5932,Net Income,Reebok,856352,664832,806504,829128,1000576,1024688,562232,731216,897488,989320,557608,841568,698080,905496,645576,709904,597152,991976,756472,990872
7859,Net Sales,Adidas,11954250,11122650,11018700,11122650,11538450,11538450,9667350,10395000,10498950,9979200,10291050,10914750,9563400,9979200,10083150,11122650,10810800,11434500,11850300,9459450
7859,Cost of Sales,Adidas,3425814,3134943,3813642,3490452,3296538,3749004,3619728,3231900,3749004,3102624,2908710,3167262,3231900,3619728,3716685,3264219,3425814,3425814,3619728,3813642
7859,Gross Profit,Adidas,8528436,7987707,7205058,7632198,8241912,7789446,6047622,7163100,6749946,6876576,7382340,7747488,6331500,6359472,6366465,7858431,7384986,8008686,8230572,5645808
7859,Total Operating Expenses,Adidas,1031940,992628,982800,1031940,1120392,1110564,1071252,1169532,1090908,1031940,943488,1169532,894348,1179360,963144,1090908,904176,1022112,1159704,963144
7859,Operating Income,Adidas,7496496,6995079,6222258,6600258,7121520,6678882,4976370,5993568,5659038,5844636,6438852,6577956,5437152,5180112,5403321,6767523,6480810,6986574,7070868,4682664
7859,Total Other Income,Adidas,620011,650704,644566,552485,552485,712092,564762,730508,558624,570901,632288,644566,607733,595456,607733,644566,577040,626149,705953,669120
7859,Income Before Tax,Adidas,8116507,7645783,6866824,7152743,7674005,7390974,5541132,6724076,6217662,6415537,7071140,7222522,6044885,5775568,6011054,7412089,7057850,7612723,7776821,5351784
7859,Provisions for Income Tax,Adidas,325987,323077,279418,296881,331808,346361,261954,343451,331808,296881,340540,273596,314345,317255,261954,288149,279418,288149,331808,340540
7859,Net Income,Adidas,7790520,7322706,6587406,6855862,7342197,7044613,5279178,6380625,5885854,6118656,6730600,6948926,5730540,5458313,5749100,7123940,6778432,7324574,7445013,5011244
8144,Net Sales,Reebok,315680,322397,312322,392921,379488,315680,335830,322397,305605,389563,362696,345905,315680,305605,329113,325755,386204,382846,319038,345905
8144,Cost of Sales,Reebok,361354,308850,308850,330470,324292,367532,339735,311938,345912,355178,318116,318116,358266,345912,345912,277965,336646,370620,302673,345912
8144,Gross Profit,Reebok,-45674,13547,3472,62451,55196,-51852,-3905,10459,-40307,34385,44580,27789,-42586,-40307,-16799,47790,49558,12226,16365,-7
8144,Total Operating Expenses,Reebok,46051,58064,59065,54560,51557,59565,56562,55061,49554,53058,52057,56062,47052,49054,47552,49554,53559,55061,52057,49054
8144,Operating Income,Reebok,-91725,-44517,-55593,7891,3639,-111417,-60467,-44602,-89861,-18673,-7477,-28273,-89638,-89361,-64351,-1764,-4001,-42835,-35692,-49061
8144,Total Other Income,Reebok,40257,34666,37275,39139,34293,40257,39512,36902,41375,38393,39139,37648,41375,35411,36902,42121,44730,35784,34293,39139
8144,Income Before Tax,Reebok,-51468,-9851,-18318,47030,37932,-71160,-20955,-7700,-48486,19720,31662,9375,-48263,-53950,-27449,40357,40729,-7051,-1399,-9922
8144,Provisions for Income Tax,Reebok,21172,15879,17820,16938,16938,20114,21172,20643,20819,17820,16232,16761,20819,20290,18702,16056,17291,19761,19055,20114
8144,Net Income,Reebok,-72640,-25730,-36138,30092,20994,-91274,-42127,-28343,-69305,1900,15430,-7386,-69082,-74240,-46151,24301,23438,-26812,-20454,-30036
8815,Net Sales,Adidas,3504452,3473439,3380401,3349388,2915208,3597491,2946221,3442426,3039259,3256349,3039259,2946221,3659516,3318375,3225336,3380401,3101285,3411413,3070272,3039259
8815,Cost of Sales,Adidas,2182252,2026377,2538538,2672145,2404930,2137716,2672145,2159984,2048644,2427198,2048644,2627609,2583074,2093180,2137716,2560806,2271323,2427198,2271323,2338127
8815,Gross Profit,Adidas,1322200,1447062,841863,677243,510278,1459775,274076,1282442,990615,829151,990615,318612,1076442,1225195,1087620,819595,829962,984215,798949,701132
8815,Total Operating Expenses,Adidas,290917,247005,274450,252494,288173,277195,268961,312873,257983,293662,304640,307384,315618,260728,249750,249750,285428,271706,285428,296406
8815,Operating Income,Adidas,1031283,1200057,567413,424749,222105,1182580,5115,969569,732632,535489,685975,11228,760824,964467,837870,569845,544534,712509,513521,404726
