Asset ID,Brand,Location,Name,Address 1,Address 2,Address 3,City,Zip Code,Private Tier,Province,Product Categories,Employees,Asset Type
5932,Reebok,Indonesia,PT Leading Garment Industries,JL. Mengger No. 97,"Moh. Toha KM 5,6 Bandung ","Pasawahan, Dayeuhkolot",Bandung,40256,Tier 1 - Primary,Jawa Barat,Apparel,320.0,Distribution Centre
7859,Adidas,Vietnam,Pouyuen Vietnam Company Limited (PYV),D10/89Q National road 1A Tan Tao ward,Binh Tan District,Ho Chi Minh city,Thanh pho Ho Chi Minh,7000,Tier 1 - Primary,Thanh pho Ho Chi Minh,Footwear,1512.0,Factory
8144,Reebok,Vietnam,"Kanaan Saigon Co., Ltd (2nd Plant)",Binh Ta 1 Hamlet,Duc Hoa Ha Village,(blank),Duc Hoa Town,850000,Tier 1 - Primary,Long An,Accessories,71.0,Distribution Centre
8815,Adidas,Pakistan,"Style Textile (Pvt), Ltd.",126/3-Kot Lakhpat Industrial Estate,(blank),(blank),Lahore,54770,Tier 1 - Primary,Punjab,Apparel,499.0,Factory
8926,Reebok,Taiwan,Wei Lee Knitting MFG. Co Ltd,"NO. 100, Hengche Road,","Pei Miao Li,",(blank),"MiaoLi City,",36045,Tier 1 - Primary,Taiwan,Accessories,17.0,Store
11928,Adidas,Bangladesh,Youngone (CEPZ)  Ltd ,"Plot # 03-16, Sector # 2,",Chittagong Export Processing Zone,(blank),Chittagong,4223,Tier 1 - Primary,Chittagong / Chattogram,Apparel,1190.0,Factory
11974,Reebok,Japan,Tabata Co Ltd Ibaraki Factory,651-2 Industrial-park,(blank),(blank),Hitachi-Omiya,319-2134 ,Tier 1 - Primary,Ibaraki,Accessories,13.0,Store
12094,Reebok,Pakistan,Kampala Industries (Pvt) Ltd.,Sade Pur Road,Rahim Pur Khitchian,(blank),Sialkot,51300,Tier 1 - Primary,Punjab,"Apparel, Gear",18.0,Store
12384,Adidas,Vietnam,Din Sen Vietnam Enterprise Co Ltd,"Lot B3, Lot J1, J2, D10/89Q, National Highway 1A, Tan Tao Ward",Binh Tan District,(blank),Ho Chi Minh City,70000,Tier 1 - Primary,Thanh pho Ho Chi Minh,Apparel,140.0,Distribution Centre
12682,Adidas,Thailand,"Thai Eastern Industry Co., Ltd.",42/220 Moo 5 Soi Moobansristhien,"Petchkasem Road,","Raikhing, ",Sampran,73210,Tier 1 - Primary,Nakhon Pathom,Apparel,41.0,Store
12980,Adidas,Indonesia,PT Taitat Putra Rejeki,JI Industri No.54 ,Tarikolot,Citeureup,Bogor,16180,Tier 1 - Primary,Jawa Barat,Accessories,12.0,Store
13017,Adidas,China,Zhongshan Gang Yi Knitting Fty,136 BANFU SOUTH ROAD SHENWAN VILLAGE,Banfu Town, ZHONGSHAN GUANGDONG PROVINCE ,Zhongshan,528459,Tier 1 - Primary,Guangdong,Apparel,21.0,Store
13027,Adidas,Brazil,Lupo S.A.,Rod. Washington Luiz Km.276 5,(blank),(blank),Araraquara,14803-900,Tier 1 - Primary,Sao Paulo,"Accessories, Apparel",392.0,Factory
13429,Reebok,Malaysia,Gallant Industries (M) Sdn Bhd,LOT 73351 JALAN PENGKALAN,LAHAT,31/500 Lahat,LAHAT IPOH,31500,Tier 1 - Primary,Perak,Accessories,13.0,Store
13438,Adidas,Thailand,Trax Intertrade Company Limited. [Roi Et],"No. 61, Village No. 5,","Chang Han Sub-district,","Chang Han District, Roi Et Province",Roi Et,45000,Tier 1 - Primary,Roi Et,Apparel,167.0,Distribution Centre
13514,Adidas,Indonesia,PT Mitra Garindo Perkasa,Jl. Pancasila V No. 21 ,Desa Cicadas,Gunung Putri,Bogor,16964,Tier 1 - Primary,Jawa Barat,Apparel,59.0,Distribution Centre
13548,Reebok,Taiwan,"Chuan Mei Glove Industries Co., Ltd.",No. 4-1 Tung Lin Road,"Lin Hai Industrial Estate, Hsiao Kang",(blank),Kaohsiung,81260,Tier 1 - Primary,Kaohsiung,Apparel,3.0,Store
13599,Reebok,Vietnam,Chuan Mei Glove (Vietnam) Co. Ltd.,Tan Thuan Export Processing Zone,NO. 12 Street,District 7,Ho Chi Minh City,70999,Tier 1 - Primary,(blank),Apparel,22.0,Store
13670,Adidas,United States,All Star Lettering,9419 Ann St,(blank),(blank),Santa Fe Springs,90670,Tier 2 – Subcontractor,California,Apparel,4.0,Store
13761,Adidas,Turkey,ETF TEKSTIL KONF. IHR. TUR. SAN. VE TIC. A.S.,Tepeoren Mah. ,Demokrasi Cad. No 137,(blank),Tuzla,34959,Tier 1 - Primary,Istanbul,Apparel,35.0,Store
13844,Adidas,United States,Headmost International Inc.,1910 Proforma Street,(blank),(blank),Ontario,91761,Tier 2 – Subcontractor,California,Apparel,2.0,Store
13854,Adidas,Taiwan,Shining Crown Cap Mfg. / Giant Group Cap (Headmost International Inc.),"31 I-Chang East Road,",Tai-Ping City,(blank),Tai Chung,411,Tier 1 - Primary,Taiwan,Apparel,6.0,Store
13882,Adidas,United States,Modern Stitch and Ink Corp.,102 W. Commercial Ave.,(blank),(blank),Moonachie,7074,Tier 1 - Primary,New Jersey,Apparel,8.0,Store
13911,Adidas,Vietnam,"Yupoong Vietnam Co., Ltd.","Lot A-2,3,4, LOTECO EPZ,","Bien Hoa, Dong Nai Province",(blank),Bien Hoa,71000,Tier 1 - Primary,Dong Nai,Apparel,66.0,Distribution Centre
14015,Adidas,Thailand,"VAS Garment (Thailand) Co., Ltd.","30 Moo 13, Kaeng Loeng Jan",Muang ,(blank),Mahasarakham,44000,Tier 1 - Primary,Maha Sarakham,Apparel,92.0,Distribution Centre
14025,Adidas,Indonesia,P.T. Kahatex,JL. Cijerah Cigondewah Girang No. 16,RT 001/ RW 032 Melong - Cimahi Selatan,Cimahi - Jawa Barat,Cimahi,40534,Tier 1 - Primary,Jawa Barat,Apparel,264.0,Distribution Centre
14091,Reebok,Indonesia,PT Semarang Garment,Jl. Soekarno - Hatta KM. 25,Kelurahan Wujil,Kecamatan Bergas,Kabupaten Semarang,50552,Tier 1 - Primary,Jawa Tengah,Apparel,336.0,Distribution Centre
14145,Adidas,Philippines,Kashka and Driggs Corporation,"4 Sampaguita Street , Bgy. Mambugan",Lourdes Subdivision,Sumulong Highway,Rizal,1870,Tier 1 - Primary,Central Luzon,Apparel,4.0,Store
14146,Reebok,China,"Dongguan Oak Sports Goods Co., Ltd. ",No. 1 Keyuan 4th Road Tangxia Town,(blank),(blank),Dongguan  City,523718,Tier 1 - Primary,Guangdong,"Accessories, Gear",33.0,Store
14199,Adidas,Indonesia,PT Perdana Firsta Garment,"Jl. Raya Batujajar No 156, KM 1,2 Padalarang",(blank),(blank),Bandung Barat,40553,Tier 1 - Primary,Jawa Barat,Apparel,147.0,Distribution Centre
14224,Adidas,United States,Cross Canvas Co. Inc.,63 Glendale Rd.,(blank),(blank),Asheville,28803,Tier 1 - Primary,North Carolina,Accessories,3.0,Store
14274,Adidas,Guatemala,"Corporacion Indyknit, S.A.","5a calle 5-26, ofibodegas, zona 6",(blank),(blank),Villa Nueva,1064,Tier 1 - Primary,Guatemala,Apparel,244.0,Distribution Centre
14297,Adidas,Malaysia,Kang Sing Manufacturing Sdn Bhd,"Lot 5312,","Batu 19,","Jalan Semenyih,",Semenyih,43500,Tier 1 - Primary,Selangor,Apparel,8.0,Store
14331,Adidas,United States,Spade (A & K Designs),8325 SE Harney Street,(blank),(blank),Portland,97266,Tier 1 - Primary,Oregon,Apparel,6.0,Store
14352,Adidas,China,Wiselink Industrial Co Ltd,Tunto Industrial District,Loyang Burgh,Huian,Quanzhou,362100,Tier 1 - Primary,Fujian,Apparel,20.0,Store
14393,Adidas,Canada,King's embroidery Ltd.,"225 Nugget Ave, Unit 8 & 9",(blank),(blank),Scarborough,M1S 3L2,Tier 1 - Primary,Ontario,Apparel,2.0,Store
14405,Reebok,China,JunYang (FuQing) Travel Appliances Co Ltd,No. 336 Longjiang Road,Fuqing County,(blank),Fuzhou City,350300,Tier 1 - Primary,Fujian,Accessories,107.0,Distribution Centre
14457,Adidas,Mexico,"Industrias Manufactureras Myr, S.A. De C.V.",Blvd. Paseo Solidaridad  No. 12325,Col. CFE, ,Irapuato,36660,Tier 1 - Primary,Guanajuato,Apparel,21.0,Store
14512,Adidas,Hungary,Handtex BT,Kossuth L. u. 21,(blank),(blank),Komlo,7300,Tier 1 - Primary,(blank),Accessories,2.0,Store
14545,Adidas,China,"Qingdao Atago Apparel Co., Ltd.","No.1, Fenghuang Shan 5 Road","Qingdao Northern Industrial Park,","Jimo City,",Qingdao,266217,Tier 1 - Primary,Shandong,Apparel,87.0,Distribution Centre
14547,Reebok,China,CHANGSHU KINSEI FASHION CO LTD,"No.1 MEIBEI RD, MEILI TOWN,",(blank),(blank),CHANGSHU,215511,Tier 1 - Primary,Jiangsu,Accessories,15.0,Store
14571,Adidas,Turkey,Gelal Corap Sanayi ve Ticaret A.S. - IST,Akcaburgaz Mah. 117. Sok. No:2,Esenyurt,(blank),Istanbul,34500,Tier 1 - Primary,Istanbul,Accessories,55.0,Distribution Centre
14583,Adidas,Cambodia,Grand Twins International (Cambodia) PLC,Phum Trapang Por,Sangkat Chom Chao,Khan Porsenchey,Phnom Penh,12405,Tier 1 - Primary,Phnom Penh,Apparel,536.0,Factory
14664,Adidas,Dominican Republic,"GARMY SPORTS PRODUCTS, LLC.","ZONA FRANCA INDUSTRIAL DE MOCA,",(blank),(blank),MOCA,51000,Tier 1 - Primary,Espaillat,Gear,10.0,Store
14683,Adidas,China,Guangzhoushi Cortina Sports Goods Co. Ltd.,"20A,1-2floor","LINGXING INDUSTRY SECTION,LIANHUASHAN BONDED PROCESSING",PANYU,GUANGZHOU City,511447,Tier 1 - Primary,Guangdong,Gear,24.0,Store
14702,Adidas,China,Bowker Venture Garment Factory (Yun Fu) Co. Ltd.,Zhen Xing Industrial Park,Chucheng Development District,(blank),Yunfu,527300,Tier 1 - Primary,Guangdong,Apparel,238.0,Distribution Centre
14746,Adidas,India,High Street Fashions Ltd (Unit I),"Plot No : B-17,  &  B-18","22 Godown  Industrial Estate,",Jaipur,Jaipur,302006,Tier 1 - Primary,Rajasthan,Accessories,8.0,Store
14772,Adidas,United States,Thermaprint Corporation,11 Autry Ste # B,(blank),(blank),Irvine,92618,Tier 2 – Subcontractor,California,Apparel,2.0,Store
14812,Adidas,Indonesia,PT Hini Daiki Indonesia,"Jl. Raya Ciawi, Kp. Kebon Bencoy, RT.03 RW.04,","Desa Mekarwangi,",Kecamatan Cisayong,Kabupaten Tasikmalaya,46153,Tier 1 - Primary,Jawa Barat,Apparel,67.0,Distribution Centre
14841,Adidas,Japan,Masaoka Towel Co Ltd. Nagasawa Factory,"Ko, 24",Nagasawa-Aza,Tsuchitori,Imabari,799-1527,Tier 1 - Primary,Ehime,Accessories,6.0,Store
14871,Adidas,Israel,Hi Tex founded by Tefron LTD,Industrial Zone Misgav,P.O. Box 1365,(blank),Misgav,2017400,Tier 1 - Primary,Northern District,Apparel,30.0,Store
14897,Adidas,Vietnam,Tung Mung Textile Co. (VN) Pte. Ltd ,"Road 18, Tan Thuan Export Process Zone ",Dist 7,(blank),Ho Chi Minh City,70000,Tier 1 - Primary,Thanh pho Ho Chi Minh,Apparel,102.0,Distribution Centre
14900,Adidas,Vietnam,BACGIANG BGG GARMENT CORPORATION,"349 Giap Hai, Dinh Ke Ward",(blank),(blank),Bac Giang,23000,Tier 1 - Primary,Bac Giang,Apparel,340.0,Distribution Centre
14904,Adidas,Malaysia,Grand Apparel Knitting Industries Sdn. Bhd,31,Lorong 6E/91 Taman Shamelin,Perkasa Batu 3 1/2 Cheras,Kuala Lumpur,56100,Tier 1 - Primary,Cheras,Apparel,11.0,Store
14936,Reebok,El Salvador,Industrias Merlet S.A. DE C.V.,Urb. Industrial La Laguna,"calle circunvalación, polígono A#3",(blank),Antiguo Cuscatlan,1502,Tier 1 - Primary,La Libertad,Apparel,145.0,Distribution Centre
14954,Adidas,United States,Boathouse,425 E. Hunting Park Avenue,(blank),Philadelphia,Philadelphia,19124,Tier 1 - Primary,Pennsylvania,Apparel,12.0,Store
14960,Adidas,China,YAYORK PLASTICAL PRODUCTS (SHENZHEN) CO. LTD.,6th Industrial Estate,"Tian Liao Village, ",Gong Ming Guang Ming New District,Shenzhen,518132,Tier 1 - Primary,Guangdong,Gear,75.0,Distribution Centre
14974,Adidas,Canada,CSG International Inc.,"8660 Ch. Darnley, Suite 102",(blank),(blank),Mont Royal,H4T 1M4,Tier 1 - Primary,Quebec,Apparel,2.0,Store
14996,Adidas,Vietnam,Shinimex II Co. Ltd.,My Hiep ward,Thai Hoa town,(blank),Tan Uyen,820000,Tier 2 – Subcontractor,Binh Duong,Footwear,146.0,Distribution Centre
15052,Adidas,Cambodia,New Orient Garments Co LTD,"14, 15, 16, 17 Works",Canadian Industrial Park,"St. Veng Sreng, Chom Chao",Phnom Penh,12000,Tier 1 - Primary,Phnom Penh,Apparel,210.0,Distribution Centre
15134,Adidas,China,Xiamen Pheasant Hi-Tech Aluminium Co Ltd,No. 3 Industrial District,"Houxi, Xincun, Jimei,",(blank),Xiamen,361024,Tier 1 - Primary,Fujian,Gear,6.0,Store
15139,Adidas,United States,Ripon Athletic,290 Junction Street,P.O. Box 25,Berlin,Berlin,54923,Tier 1 - Primary,Wisconsin,Apparel,16.0,Store
15215,Reebok,China,Taka Sporting Goods Inc.,No 8 3rd Industrial Zone,"Xiancun, Gongming Town",Guangming District,Shenzhen,518106,Tier 1 - Primary,Guangdong,"Accessories, Apparel",23.0,Store
15222,Adidas,Lesotho,JAGUAR SHOES,Mantsebo Street,Maputsoe,Maputsoe,Maputsoe,350,Tier 1 - Primary,Leribe,Footwear,14.0,Store
15240,Reebok,El Salvador,Chi Fung SA de CV,"Carretera Troncal Del Norte, KM 12",Ciudad Apopa,(blank),San Salvador,,Tier 1 - Primary,San Salvador,Apparel,80.0,Distribution Centre
15244,Adidas,Vietnam,"Bowker (Vietnam) Garment Factory Co., Ltd","Lot K1-2-3-4-5, Road 6, Dong An IP, Binh Hoa Ward, Thuan An Town, Binh Duong Province, Vietnam",Dong An Industrial Park,Thuan An Town,Binh Duong,70000,Tier 1 - Primary,Binh Duong,Apparel,589.0,Factory
15385,Adidas,Guatemala,"Textiles Won, S.A.","18 Avenida 37-41, Zona 12",(blank),(blank),Guatemala City,1012,Tier 2 – Subcontractor,Guatemala,Apparel,24.0,Store
15397,Adidas,China,Fujian Ching Luh Shoes Group Co. LTD.-Gushan,Yuan Yang Village,Fu Ma Road,Fuzhou,Fuzhou,350014,Tier 2 – Subcontractor,Fujian,Footwear,350.0,Distribution Centre
15410,Adidas,India,M/S LAKHANI FOOTWEAR PRIVATE LTD. (FARIDABAD),Plot No. 266,Sector 24,(blank),Faridabad,121005,Tier 2 – Subcontractor,Haryana,Footwear,228.0,Distribution Centre
15441,Adidas,China,Fuluh Corporation,"7th Fuxing Investment Zone, Fuxing Road",Gushan Town,Fuzhou,Fuzhou,350014,Tier 1 - Primary,Fujian,Footwear,590.0,Factory
15453,Adidas,China,"Shanghai Nikki Fashion Co., Ltd.",189 Beidou Road,Minhang Economic & Technological Developement Zone,(blank),Shanghai,200245,Tier 1 - Primary,Shanghai,Apparel,22.0,Store
15474,Adidas,Guatemala,G&V S.A.,3 Calle 0-65 Zona 1,(blank),(blank),San Pedro Sacatepequez,0,Tier 2 – Subcontractor,Guatemala,Apparel,24.0,Store
15482,Adidas,Canada,SP Apparel Inc,1237 Industrial Boulevard,(blank),(blank),Granby,J2J 2B8,Tier 1 - Primary,Quebec,Apparel,8.0,Store
15513,Adidas,China,Qingdao Tenghua Apparel Co.Ltd.,219 North of Chong Qing Road,Chengyang,(blank),Qingdao,266108,Tier 1 - Primary,Shandong,Apparel,35.0,Store
15517,Adidas,Taiwan,Jen-Wei Knitting Co. Ltd.,"1-8 Hsing Cheng Liao, ","Kung Wei Li, Matou District",(blank),Tainan ,72151,Tier 1 - Primary,Taiwan,"Accessories, Apparel",2.0,Store
15542,Adidas,Japan,Atago Co Ltd,4 - 13 - 1 Minori,(blank),(blank),Fukui City,0,Tier 1 - Primary,Fukui,Apparel,23.0,Store
15588,Adidas,Japan,"KANKO GAKUSEIFUKU CO.,LTD. YONAGO FACTORY",01/02/2001,(blank),KuzumoMinami,Yonago,683-0008,Tier 1 - Primary,Tottori,Apparel,23.0,Store
15591,Adidas,Japan,Matuda Baby Corp,82-2 ,Teradacho,(blank),Kashihara City,634-0817,Tier 1 - Primary,Nara,Accessories,2.0,Store
15615,Adidas,Vietnam,Pou Yuen Vietnam company limited (PVN) ,D10/89Q National Highway 1A,Tan Tao Ward,Binh Tan District,Ho Chi Minh City,7000,Tier 1 - Primary,Thanh pho Ho Chi Minh,Footwear,1072.0,Factory
15694,Adidas,Thailand,"Thong Thai Textile Co., Ltd.","No. 21, Soi Phetkasem 81",Ma-Charoen Rd,Nongkhaem,Bangkok,10160,Tier 1 - Primary,Bangkok,Apparel,98.0,Distribution Centre
15717,Adidas,United States,Indiana Knitwear Corporation,230 East Osage St.,(blank),Greebfield,Greenfield,46140,Tier 1 - Primary,Indiana,Apparel,3.0,Store
15777,Adidas,Vietnam,"Hwa Seung Vina Co., Ltd.",Nhon Trach 1 Industrial Zone,Nhon Trach District,(blank),Dong Nai,81000,Tier 1 - Primary,Dong Nai,Footwear,1397.0,Factory
